Item,Variant,Clause 2,Clause 1,Sentence
1,[A ← P],Mary was scolded by her father,Before her mother did,"Before her mother did, Mary was scolded by her father."
,[P ← A],Mary’s father scolded her,Before her sister was,"Before her sister was, Mary’s father scolded her."
,[A ← A],Mary’s father scolded her,Before her mother did,"Before her mother did, Mary’s father scolded her."
,[P ← P],Mary was scolded by her father,Before her sister was,"Before her sister was, Mary was scolded by her father."
2,[A ← P],the report was first read by the judge,Before the lawyer did,"Before the lawyer did, the report was first read by the judge."
,[P ← A],the judge read the report first,Before the confession was,"Before the confession was, the judge read the report first."
,[A ← A],the judge read the report first,Before the lawyer did,"Before the lawyer did, the judge read the report first."
,[P ← P],the report was first read by the judge,Before the confession was,"Before the confession was, the report was first read by the judge."
3,[A ← P],the fireman was first praised by the Mayor,Before the President did,"Before the President did, the fireman was first praised by the Mayor."
,[P ← A],the Mayor first praised the fireman,Before the policeman was,"Before the policeman was, the Mayor first praised the fireman."
,[A ← A],the Mayor first praised the fireman,Before the President did,"Before the President did, the Mayor first praised the fireman."
,[P ← P],the fireman was first praised by the Mayor,Before the policeman was,"Before the policeman was, the fireman was first praised by the Mayor."
4,[A ← P],the winner was hugged by the talk-show host,Before the announcer did,"Before the announcer did, the winner was hugged by the talk-show host."
,[P ← A],the talk-show host hugged the winner,Before the loser was,"Before the loser was, the talk-show host hugged the winner."
,[A ← A],the talk-show host hugged the winner,Before the announcer did,"Before the announcer did, the talk-show host hugged the winner."
,[P ← P],the winner was hugged by the talk-show host,Before the loser was,"Before the loser was, the winner was hugged by the talk-show host."
5,[A ← P],the student was praised by the old schoolmaster,Before the advisor did,"Before the advisor did, the student was praised by the old schoolmaster."
,[P ← A],the old schoolmaster praised the student,Before the Teaching Assistant was,"Before the Teaching Assistant was, the old schoolmaster praised the student."
,[A ← A],the old schoolmaster praised the student,Before the advisor did,"Before the advisor did, the old schoolmaster praised the student."
,[P ← P],the student was praised by the old schoolmaster,Before the Teaching Assistant was,"Before the Teaching Assistant was, the student was praised by the old schoolmaster."
