Item,Ellipsis Type,Ellipsis,Voice,New item,Original items (for reference)
1,gapping,elliptical,active,"Mary scolded Wilma, and Susan, Nancy. ","Mary was scolded by her father, and then her mother did too."
,,elliptical,passive,"Wilma was scolded by Mary, and Nancy, by Susan.","Mary’s father scolded her, and then her sister was too."
,,non-elliptical,active,"Mary scolded Wilma, and Susan scolded Nancy.","Mary’s father scolded her, and then her mother did too."
,,non-elliptical,passive,"Wilma was scolded by Mary, and Nancy was scolded by Susan.","Mary was scolded by her father, and then her sister was too."
2,sluicing,elliptical,active,"Someone read the report, but I don't know who.","The report was first read by the judge, and then the lawyer did too."
,,elliptical,passive,"The report was read by someone, but I don't know by whom.","The judge read the report first, and then the confession was too."
,,non-elliptical,active,"Someone read the report, but I don't know who read it.","The judge read the report first, and then the lawyer did too."
,,non-elliptical,passive,"The report was read by someone, but I don't know by whom it was read.","The report was first read by the judge, and then the confession was too."
3,gapping,elliptical,active,"The Mayor praised the fireman, and the City Councilman, the policeman. ","The fireman was first praised by the Mayor, and today the President did too."
,,elliptical,passive,"The fireman was praised by the Mayor, and the policeman, by the City Councilman.  ","The Mayor first praised the fireman, and then the policeman was too."
,,non-elliptical,active,"The Mayor praised the fireman, and the City Councilman praised the policeman.","The Mayor first praised the fireman, and today the President did too."
,,non-elliptical,passive,"The fireman was praised by the Mayor, and the policeman was praised by the City Councilman.","The fireman was first praised by the Mayor, and then the policeman was too."
4,sluicing,elliptical,active,"Someone hugged the game show contestant, but I don't know who.  ","The winner was hugged by the talk-show host, and the announcer did too."
,,elliptical,passive,"The game show contestant was hugged by someone, but I don't know by whom.","The talk-show host hugged the winner, and the loser was too."
,,non-elliptical,active,"Someone hugged the game show contestant, but I don't know who hugged him.","The talk-show host hugged the winner, and the announcer did too."
,,non-elliptical,passive,"The game show contestant was hugged by someone, but I don't know by whom he was hugged. ","The winner was hugged by the talk-show host, and the loser was too."
5,gapping,elliptical,active,"The principal complemented the teacher, and the guidance counselor, the student.  ","The student was praised by the old schoolmaster, and the advisor did too."
,,elliptical,passive,"The teacher was complemented by the principal, and the student, by the guidance counselor. ","The old schoolmaster praised the student, and the Teaching Assistant was too."
,,non-elliptical,active,"The principal complemented the teacher, and the guidance counselor complemented the student.","The old schoolmaster praised the student, and the advisor did too."
,,non-elliptical,passive,"The teacher was complemented by the principal, and the student was complemented by the guidance counselor.","The student was praised by the old schoolmaster, and the Teaching Assistant was too."
6,sluicing,elliptical,active,"Someone taught French classes this quarter, but I don't know who. ","Mary was given French classes by her French grandmother, and her French aunt did too."
,,elliptical,passive,"French classes were taught by someone this quarter, but I don't know by whom. ","Mary’s French grandmother gave her French classes, and her sister was too."
,,non-elliptical,active,"Someone taught French classes this quarter, but I don't know who taught them.","Mary’s French grandmother gave her French classes, and her French aunt did too."
,,non-elliptical,passive,"French classes were taught by someone this quarter, but I don't know by whom they were taught.","Mary was given French classes by her French grandmother, and her sister was too."
7,gapping,elliptical,active,"John offended Bill, and Fred, George.  ","Susan was offered a loan by the bank, and the credit union did too."
,,elliptical,passive,"Bill was offended by John, and George, by Fred. ","Susan’s bank offered her a loan, and her sisters were too."
,,non-elliptical,active,"John offended Bill, and Fred offended George.","Susan’s bank offered her a loan, and the credit union did too."
,,non-elliptical,passive,"Bill was offended by John, and George was offended by Fred.","Susan was offered a loan by the bank, and her sisters were too."
8,sluicing,elliptical,active,"Someone asked the witness a question, but I don't know who.  ","The witness was surprised by the policeman’s question, and the lawyer did too."
,,elliptical,passive,"The witness was asked a question by someone, but I don't know by whom. ","The policeman’s question surprised the witness, and the accused was too."
,,non-elliptical,active,"Someone asked the witness a question, but I don't know who asked him a question. ","The policeman’s question surprised the witness, and the lawyer did too."
,,non-elliptical,passive,"The witness was asked a question by someone, but I don't know by whom he was asked a question.","The witness was surprised by the policeman’s question, and the accused was too."
9,gapping,elliptical,active,"The car manufacturer exploited the auto workers, and the steel factory, the metal workers. ","The autoworkers were exploited by the local business, and the big corporations did too."
,,elliptical,passive,"The auto workers were exploited by the car manufacturer, and the metal workers, by the steel factory. ","The local business exploited the autoworkers, and the metal workers were too."
,,non-elliptical,active,"The car manufacturer exploited the auto workers, and the steel factory exploited the metal workers.","The local business exploited the autoworkers, and the big corporations did too."
,,non-elliptical,passive,"The auto workers were exploited by the car manufacturer, and the metal workers were exploited by the steel factory.","The autoworkers were exploited by the local business, and the metal workers were too."
10,sluicing,elliptical,active,"Someone interviewed the Senator, but I don't know who.  ","The Mayor was interviewed by the newspapers, and the TV networks did too."
,,elliptical,passive,"The Senator was interviewed by someone, but I don't know by whom.  ","The newspaper interviewed the Mayor, and the Chief of Police was too."
,,non-elliptical,active,"Someone interviewed the Senator, but I don't know who interviewed her. ","The newspaper interviewed the Mayor, and the TV networks did too."
,,non-elliptical,passive,"The Senator was interviewed by someone, but I don't know by whom she was interviewed.","The Mayor was interviewed by the newspapers, and the Chief of Police was too."
